[18:01:40]  
[18:01:40] ---------------------------
[18:01:40] MySQL Debugging activated (12/05/09)
[18:01:40] ---------------------------
[18:01:40]  
[18:01:40] mysql_connect("localhost","estrpco_portal","estrpco_portal","@3&zb$yBI&j~");
[18:01:40] MySQL connection has been established
[18:01:40] mysql_query("SELECT * FROM ph_NewsPaper ORDER BY date DESC LIMIT 2"); Return: 1
[18:01:40] mysql_store_result();
[18:01:40] mysql_num_rows(); Return: 1
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "1 0 Lorem Ipsum ~b~Lorem ipsum~n~~n~~w~Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. ~b~Lorem ipsum~n~~n~~w~Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. ~b~Lorem ipsum~n~~n~~w~Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. ~b~Lorem ipsum~n~~n~~w~Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. 1 2 3 4 Otsin naist! Otsin meest! otsin Last! otsin Ema!"
[18:01:40] mysql_fetch_field_row(Field: "id"); Return: "1"
[18:01:40] mysql_fetch_field_row(Field: "headLine"); Return: "Lorem Ipsum"
[18:01:40] mysql_fetch_field_row(Field: "Block1"); Return: "~b~Lorem ipsum~n~~n~~w~Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt."
[18:01:40] mysql_fetch_field_row(Field: "Block2"); Return: "~b~Lorem ipsum~n~~n~~w~Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt."
[18:01:40] mysql_fetch_field_row(Field: "Block3"); Return: "~b~Lorem ipsum~n~~n~~w~Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt."
[18:01:40] mysql_fetch_field_row(Field: "Block4"); Return: "~b~Lorem ipsum~n~~n~~w~Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt. Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt."
[18:01:40] mysql_fetch_field_row(Field: "Add1"); Return: "Otsin naist!"
[18:01:40] mysql_fetch_field_row(Field: "Add2"); Return: "Otsin meest!"
[18:01:40] mysql_fetch_field_row(Field: "Add3"); Return: "otsin Last!"
[18:01:40] mysql_fetch_field_row(Field: "Add4"); Return: "otsin Ema!"
[18:01:40] mysql_fetch_field_row(Field: "stat1"); Return: "1"
[18:01:40] mysql_fetch_field_row(Field: "stat2"); Return: "2"
[18:01:40] mysql_fetch_field_row(Field: "stat3"); Return: "3"
[18:01:40] mysql_fetch_field_row(Field: "stat4"); Return: "4"
[18:01:40] mysql_num_rows(); Return: 1
[18:01:40] mysql_free_result();
[18:01:40] mysql_query("SELECT * FROM ph_vehicles",Resultid: 1);
[18:01:40] New thread created (Thread ID: 428 | Result ID: 1 | Threadsafe: Yes)
[18:01:40] mysql_store_result();
[18:01:40] mysql_num_rows(); Return: 298
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "15 542 0 2535.96 -1029.48 69.325 178.877 2535.96 -1029.48 69.325 178.877 10 2 0 0 1 689.129"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "14 527 0 2570.35 -1029.51 69.2976 178.585 2570.35 -1029.51 69.2976 178.585 1 7 0 0 1 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "13 518 0 2493.27 -951.798 81.9165 88.4729 2493.27 -951.798 81.9165 88.4729 4 0 0 0 1 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "12 401 0 2511.04 -956.685 82.0888 90.9248 2511.04 -956.685 82.0888 90.9248 7 7 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "11 468 0 2498.58 -958.889 81.9314 171.249 2498.58 -958.889 81.9314 171.249 2 8 0 0 0 673.449"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "10 504 0 2556.67 -960.501 82.4853 243.063 2556.67 -960.501 82.4853 243.063 4 8 0 0 1 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "9 445 0 2539 -959.994 82.0125 7.83467 2539 -959.994 82.0125 7.83467 6 9 0 0 0 996.532"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "16 507 0 2502.97 -1027.67 69.909 170.098 2502.97 -1027.67 69.909 170.098 5 8 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "17 562 0 2483.85 -1018.79 64.8061 146.201 2483.85 -1018.79 64.8061 146.201 3 4 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "18 585 0 2454.07 -1012.79 59.356 355.694 2454.07 -1012.79 59.356 355.694 9 3 0 0 1 863.215"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "19 509 0 2461.43 -1017.74 59.3996 188.856 2461.43 -1017.74 59.3996 188.856 7 7 0 0 0 988.682"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "20 419 0 2428.13 -1014.36 54.1404 195.477 2428.13 -1014.36 54.1404 195.477 5 2 0 0 0 945.145"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "21 526 0 2432.18 -1057.09 54.1105 174.451 2432.18 -1057.09 54.1105 174.451 5 9 0 0 0 976.969"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "22 462 0 2458.8 -1050.32 59.3827 302.484 2458.8 -1050.32 59.3827 302.484 9 8 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "23 604 0 2451.84 -1054.83 59.4839 173.76 2451.84 -1054.83 59.4839 173.76 4 4 0 0 0 805.955"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "24 492 0 2476.67 -1056.47 66.4238 342.854 2476.67 -1056.47 66.4238 342.854 1 3 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "25 466 0 2497.93 -1062.53 69.8669 358.712 2497.93 -1062.53 69.8669 358.712 9 8 0 0 1 889.324"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "26 418 0 2530.16 -1064.17 69.66 359.909 2530.16 -1064.17 69.66 359.909 4 7 0 0 0 401.277"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "27 510 0 2539.73 -1062.87 69.1746 330.839 2539.73 -1062.87 69.1746 330.839 0 1 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "28 474 0 2596 -1062.99 69.3405 181.945 2596 -1062.99 69.3405 181.945 3 4 0 0 0 997.976"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "29 474 0 2596.04 -1070.24 69.344 359.13 2596.04 -1070.24 69.344 359.13 1 1 0 0 2 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "30 479 0 2399.92 -1138.92 29.8003 181.684 2399.92 -1138.92 29.8003 181.684 2 7 0 0 0 760.687"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "31 575 0 2437.27 -1221.57 24.7669 102.213 2437.27 -1221.57 24.7669 102.213 8 1 0 0 2 855.754"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "32 602 0 2437.83 -1240.61 24.3338 357.679 2437.83 -1240.61 24.3338 357.679 9 2 0 0 2 558.906"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "33 463 0 2438.18 -1227.57 24.5738 151.889 2438.18 -1227.57 24.5738 151.889 4 4 0 0 1 864.459"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "34 463 0 2437.69 -1233.08 24.5888 23.5929 2437.69 -1233.08 24.5888 23.5929 8 10 0 0 1 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "35 579 0 2432.99 -1241.62 24.3091 175.578 2432.99 -1241.62 24.3091 175.578 4 9 0 0 1 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "36 461 0 2430.01 -1240.81 23.9719 353.287 2430.01 -1240.81 23.9719 353.287 6 0 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "37 561 0 2427.4 -1241.45 24.0927 174.912 2427.4 -1241.45 24.0927 174.912 5 3 0 0 1 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "38 516 0 2406.13 -1236.45 23.6466 6.01198 2406.13 -1236.45 23.6466 6.01198 2 1 0 0 1 593.517"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "39 495 0 2402.85 -1222.43 25.8124 89.0293 2402.85 -1222.43 25.8124 89.0293 8 5 0 0 1 556.786"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "40 469 0 2400.88 -1238.13 28.5723 358.659 2400.88 -1238.13 28.5723 358.659 5 6 0 0 1 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "41 534 0 2414 -1285.18 24.3035 181.1 2414 -1285.18 24.3035 181.1 7 8 0 0 0 995.54"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "42 471 0 2414.44 -1293.11 24.4215 19.4169 2414.44 -1293.11 24.4215 19.4169 8 7 0 0 1 450"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "43 521 0 2502.66 -1240.09 35.6431 355.199 2502.66 -1240.09 35.6431 355.199 2 6 0 0 0 408.841"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "44 400 0 2557.48 -1215.8 54.3442 272.278 2557.48 -1215.8 54.3442 272.278 5 9 0 0 1 741.346"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "45 468 0 2752.27 -1301.76 52.7571 28.626 2752.27 -1301.76 52.7571 28.626 8 3 0 0 0 794.834"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "46 429 0 2803.97 -1253.22 46.6328 154.571 2803.97 -1253.22 46.6328 154.571 3 5 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "47 421 0 2815.15 -1089.2 30.6301 177.207 2815.15 -1089.2 30.6301 177.207 4 8 0 0 0 924.416"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "48 529 0 2816.28 -1186.94 24.8746 269.698 2816.28 -1186.94 24.8746 269.698 7 2 0 0 0 922.954"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "49 491 0 2815.48 -1178.96 25.0259 88.212 2815.48 -1178.96 25.0259 88.212 7 9 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "50 586 0 2826.91 -1197.41 24.4704 180.688 2826.91 -1197.41 24.4704 180.688 4 4 0 0 0 984.168"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "51 500 0 2845.13 -1287.38 19.3265 275.036 2845.13 -1287.38 19.3265 275.036 8 7 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "52 566 0 2844.96 -1283.65 19.3703 280.104 2844.96 -1283.65 19.3703 280.104 2 0 0 0 0 450"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "53 480 0 2851.77 -1328.4 10.8465 196 2851.77 -1328.4 10.8465 196 4 9 0 0 0 450"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "54 422 0 2856.32 -1354.75 11.0531 324.77 2856.32 -1354.75 11.0531 324.77 2 6 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "55 422 0 2855.76 -1344.07 11.056 216.138 2855.76 -1344.07 11.056 216.138 1 8 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "56 498 0 2856.72 -1349.15 11.1239 272.75 2856.72 -1349.15 11.1239 272.75 8 6 0 0 0 711.952"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "57 462 0 2783.96 -1362.59 24.7102 145.773 2783.96 -1362.59 24.7102 145.773 5 8 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "58 533 0 2818 -1429.23 15.9591 175.14 2818 -1429.23 15.9591 175.14 6 5 0 0 0 1000"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "59 555 0 2812.03 -1428.59 15.9342 180.052 2812.03 -1428.59 15.9342 180.052 7 1 0 0 0 923.268"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "60 565 0 2800.97 -1466.99 15.85 268.544 2800.97 -1466.99 15.85 268.544 4 7 0 0 0 450"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "61 531 0 2791.01 -1429.2 20.185 356.322 2791.01 -1429.2 20.185 356.322 1 5 0 0 0 430.797"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "62 457 0 2819 -1427.4 19.845 95.3789 2819 -1427.4 19.845 95.3789 1 9 0 0 0 450"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "63 462 0 2818.81 -1430.85 19.8188 273.124 2818.81 -1430.85 19.8188 273.124 5 7 0 0 0 994.998"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "64 541 0 2790.74 -1428.63 39.6872 3.43878 2790.74 -1428.63 39.6872 3.43878 8 9 0 0 0 895.858"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "65 541 0 2794.32 -1428.28 39.6873 1.76685 2794.32 -1428.28 39.6873 1.76685 3 7 0 0 0 474.257"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "66 411 0 2816.31 -1428.42 39.7896 273.069 2816.31 -1428.42 39.7896 273.069 8 9 0 0 0 993.29"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "67 451 0 2816.51 -1432.24 39.7691 270.771 2816.51 -1432.24 39.7691 270.771 8 5 0 0 0 450"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "68 487 0 2804.32 -1444 40.2053 225.741 2804.32 -1444 40.2053 225.741 10 5 0 0 0 961.909"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "69 535 0 2791.53 -1429.53 35.8576 1.32668 2791.53 -1429.53 35.8576 1.32668 5 2 0 0 0 994.837"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "70 434 0 2817.22 -1428.12 36.0516 271.771 2817.22 -1428.12 36.0516 271.771 3 1 0 0 0 450"
[18:01:40] mysql_fetch_row_format(Delimiter:  ); Return: "71 415 0 2791.28 -1429.58 31.8974 357.01 2791.28 -1429.58 31.8974 357.01 6 6 0 0 0 581.029"
